Title,Keywords,Abstract
The development for Internet of Things smart home service operation support platform,IoT; smart home; service; platform,"Internet of things smart home integrates automation control system, computer network system and network communication technology. Internet of Things smart home service operation support platform implement the development of service operation support platform, smart home service management platform, the Internet of things device service support platform and huge amounts of data analysis platform. It realizes integration from single to comprehensive service, and bring comfortable, energy-saving, healthy new life for home users."
Service Provisioning Framework for Digital Smart Home Services,smart home; service provisioning; distributed systems,"Development and Management Framework of Smart Home Services (SNAPAS) is an innovative system, which seeks to fill the market niche of Smart Home services and fully complies with the priorities of scientific development approved by the European Parliament and Council. Framework is characterized by an open component-based pluggable architecture, which provides new forms of interactive services in home environments, including the third-party service providers in the business model. SNAPAS is intended to develop, provide and control the services of Smart Home. Statistical research shows that the most important groups of Smart Home services are comfort, energy efficiency, and security. The most important are the energy efficiency services, because 76.3 % of all respondents would like to improve their heating system."
SHSM: A Service Middleware for Smart Home,Smart Home; Service Middleware; Service Computing; Intelligent Home Space,"There emerges an increasing need to overcome the obstacles of connecting heterogeneous resources (e.g., appliances, applications, sensors) and building intelligent service businesses in smart home. In this paper, we design and implement a smart home service middleware (SHSM) to support service integration and intelligent service invocation. SHSM implements a hierarchical structure and a complete service management framework which effectively integrates and operates heterogeneous service resources. SHSM constructs a rule driven application trigger scheme to automate application workflow for smart space environment. We present some use cases that show the overall utilization of the middleware and discuss the practical application scenarios."
SDN-based multi-level framework for smart home services,SDN; Smart home API; Smart services; Smart home framework,"The smart home is a field that uses smart devices and gadgets to automate tasks and operations in the house, and it is expected that this study subject will become a focal point in future civilizations. The adoption of smart home services faces significant obstacles in terms of reliability and stability. The Software Defined Networking (SDN) paradigm offers up novel approaches and trends to embrace smart technologies to tackle the issues of smart homes. To avoid accidents, we developed a vertical SDN-based multi-level structure consisting of two controllers with a parent-child connection. It enables smart homes to make optimal use of current services while also providing new services to smart homes and buildings, opening the path for future smart services. In addition, we created an Application Programming Interface (API) for the smart home to make it easier to use current services and pave the path for future smart services. We designed numerous jobs depending on their categorization to give smart services, which is beneficial for smart homes. Local topologies, cloud topologies, and cloud-local topologies have all been compared in the evaluation section. The performance of POX, NOX, and Flood Light controllers is measured using three performance metrics: mean throughput, Round-Trip Time (RTT), and packet loss across all three topologies. Our findings revealed that the cloud-local topology had the lowest packet loss ratio of 1.4%, while the local and cloud topologies had 1.9% and 2.3%, respectively."
Privacy-Aware Web Services in Smart Homes,Policy; Privacy; Smart Home; Trust; Web service,"Smart homes can assist their inhabitants with mental and physical tasks, and monitor their safety and health. However; the systems that. empower such homes use sensitive information that could be misused by external systems resulting in violations of the inhabitants' privacy. In this paper, we introduce a Web services-centric solution to handle privacy concerns. Web services provide the functionalities that allow users remotely interact with the systems empowering the smart homes. In addition the solution uses policies to control how Web services handle privacy concerns and penalize those Web services that do not bind to these policies. Moreover the solution uses trust and reputation to select the most trustworthy Web services."
Smart City Service Platform Associated with Smart Home,smart city service platform; smart home; internet of thing(IoT); context information,"This paper proposes an intelligent smart city service platform architecture that can provide an intelligent smart city services associated with the smart city and the smart home. Also, this paper shows the control flow of the smart city service platform providing the mechanism to perform one associated process made by person, thing, context and service for supporting the intelligent smart city service such as energy, water, public safety and public health. And this smart city service platform will contribute to compose a new smart city service ecosystem and to create a new smart service business model such as energy, water, public safety and public health."
Smart Homes as Product-Service Systems: Two Focal Areas or Developing Competitive Smart Home Appliances,smart home; smart home appliance (SHA); product-service system (PSS),"Smart homes are a strong match for the characteristics of product-service systems (PSSs), but practitioners lack the knowledge necessary to approach their designs from a systemic perspective. Positing that smart home appliances (SHAs) are the building blocks of smart homes as competitive PSSs, we investigate the attributes of SHAs as design elements and the advantages of PSSsas design goals. Based on systematic literature reviews and interviews with SHA experts in South Korea, we propose a revised set of SHA attributes and discuss the two focal areas for developing competitive PSSs with SHAs: smartness for personalized user experiences and smartness for expanded cooperation. This paper contributes to the fast-changing smart home industry by capturing the attributes that define today's SHAs, demonstrating that these attributes can contribute to the development of smart homes as a competitive PSS, and identifying areas of focus for those who develop SHAs and systems."
A Proposal for an Integrated Smart Home Service Platform,Internet of Things; Smart Home; Smart Services,"The growing popularity of Internet-connected smart devices in consumers' homes has led to a steady increase in the number of smart homes worldwide. In order to provide meaningful added value for consumers and businesses alike, smart devices need to be accompanied by services and applications which excel conventional devices' usages. However, integrated solutions to support the development and operation of smart home services for, and across, different devices and application scenarios are still missing in research as well as in industry. In this paper, we present the motivation, requirements and an initial concept for a fully integrated smart home service platform (SHSP), which may serve as a basis for further discussion."
A Framework of Smart-Home Service for Elderly's Biophilic Experience,elderly; biophilia; biophilic experience; smart home; smart-home service; service framework,"Smart-home technology and related services can reinforce a person's experiential nature, promoting sustainable living among the elderly. It is crucial in the housing industry that support Aging in Place, contributing to the contact, control, and simulation of nature at home as well as the creation of a high-quality living space instead of mechanical achievement. Further, biophilic experience, the strengthening of inherent human propensity to nature for optimal health and well-being, supports the elderly's physical, mental, and sociological health. However, despite the continuing emphasis on the benefits of residential nature experiences for the elderly, the application of smart-home technology and services is insufficient. This study presents a theoretical basis for combining biophilia and smart-home technology, providing a framework for smart-home services to ensure elderly residents can have biophilic experiences. In this study, smart-home components and related studies that can support the biophilic experience and the corresponding technology are analyzed. The results suggest the type and content of smart-home service for ensuring a biophilic experience, while also indicating the configuration of supportive input and output devices according to the service framework. Moreover, we recommend the interaction characteristics of smart-home devices from the perspective of residents, space, efficient service provision, and physical application. This paper broadens our understanding of the sustainable, residential-environment nature experience and informs the expansion of the aged-friendly smart-home industry, contributing to smart-home services trends and development."
Research of Smart Home Service Platform Based on Mobile Cloud,Smart Home; Service Platform; Mobile Cloud; Integrated Service Application,"With the development of smart city pilot projects of Housing Department, there has been a lot of smart city application products, meanwhile, smart home products emerge endlessly. To enjoy better service, people will choose a number of services provided by different suppliers, which causes a home need various service application terminals. Then, timely, quick and safe mobile remote access becomes very important. To solve this problem, the authors integrate service applications of affiliate service suppliers through standardized protocols, based on mobile cloud, and create smart home Platform. This providing customers a unified security service selection entry through customer settings."
A Middleware of IoT-based Smart Home Based on Service,IoT; Smart Home; Middleware; SOA,"This paper presents a Middleware of IoT-based smart home, which based on SOA (Service Oriented Architecture) and overcome the problems of sharing family service information and integrating heterogeneous systems. The middleware tries to form a system framework, which is workable, easily integrated, SOA-based loose coupling and conformed to the standard of family service information exchange. In this framework, the middleware, who plays the role of family service bus, becomes communication component of family service that based on SOA infrastructure, supports services, messaging, and web-based services interaction in heterogeneous environment, finds and discovers required web services through service registration and repository. Each business application distributes loosely coupled based on SOA integration framework, exchanges data and driven events via smart home middleware, provides more good flexibility and faster response for changes of business needs."
Integrated Community Service Platform System Linked to Smart Home and Smart City,internet of thing(IoT); integrated community service; smart city; smart home; context information,"Present thing internet services provided in the smart home is performed by passive methods that people make a direct command for certain thing devices. Also, the present circumstance of thing internet service do not provide the infrastructure to offer public community services for the smart city associated with the smart home because most of the thing internet services have a private purpose orientation. Therefore, this paper proposes an integrated community service platform system architecture that can provide a single integrated and intelligent community services linked with the smart city and the smart home."
Development of Middleware Architecture to Realize Context-Aware Service in Smart Home Environment,context-aware; middleware; ontology; profile; reasoning; service; smart home,"A smart home provides automated services based on the context of the home environment and user activity. Context acquiring, processing, reasoning, and disseminating to the services are complex tasks for a context-aware system. An appropriate middleware architecture could handle such complexity. In this paper, we proposed a middleware architecture for a context-aware system in smart home environment. Here, the context is modeled based on ontology using Web Ontology Language (OWL). In addition, a profile applied improved rule-based reasoning algorithm is integrated into this middleware to infer high-level contexts from available low-level contexts. Experimental result shows that the middleware provides more accurate and faster reasoning outcome compare with the traditional rule-based reasoning method. Moreover, context-aware service is also selected using the rule-based algorithm, where the service can be extended easily by adding new service rules in the service rule base."
SECURED WEB SERVICES FOR HOME AUTOMATION IN SMART GRID ENVIRONMENT,Security; Smart Homes; Web Services; Smart Grid,"Smart grid aims to empower the current power grid with the integration of two-way communication and computer technology. The smart home contains a network that connects home elements like sensors, appliances and thermostat. In our previous work, we proposed an approach that used web services to remotely interact with smart home elements in a smart grid environment. These interactions include adjusting the temperature or reading energy consumption. We assumed a smart home with a wireless sensor network based on Zigbee. In this paper, we extend the system by including quality of service, security and XMPP (eXtensible Messaging and Presence Protocol). Different levels of access control are provided. Advantage of XMPP is that it provides near real-time communication and security. Secured web services also facilitate selling of energy back to the grid. The performance, advantage and limitations of the communications between user and elements via secured web services are demonstrated here."
Smart home services as the next mainstream of the ICT industry: determinants of the adoption of smart home services,Smart home services; Technology acceptance model; Compatibility; Perceived connectedness,"This study investigated the core motivations for adopting smart home services and explored the approaches and processes through which the motivations were incorporated with the original technology acceptance model (TAM) and the acceptance of the services. To achieve this purpose, an Internet survey was conducted in South Korea. The data (N = 799) from the survey were analyzed using structural equation modeling and confirmatory factor analysis. The results suggested that the perceived compatibility, connectedness, control, system reliability, and enjoyment of smart home services were positively related to the users' intention to use the services, whereas there was a negative association between the perceived cost and usage intention. The structural results also provided evidence of the validity of the original TAM. Although smart home services have attracted users' interest in the housing context, only a few studies have examined how the users' intention to use the services is motivated. The present study represents an initial step to explore the process of adopting smart home services with potential future research areas."
